"Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.","Klicken Sie auf den %1 um zur Klarna Händler Onboarding-Seite zu gelangen und Anmeldedaten zu beantragen."
"Order ID",Bestell-ID
Error,Fehler
Reference,Bestellnummer
Reservation,Reservierung
"Merchant Portal","Merchant Portal"
"Invoice ID (#%1)","Rechnungsnummer (#%1)"
"Invalid API version selected!","Ungültige Api-Version ausgewählt!"
"Klarna module country region warning:","Klarna Modul Länderregion Warnung:"
"For the following stores the countries are configured to require a region:","Bei den folgenden Stores erfordert die Ländereinstellung eine Region:"
"Click here to go to <a href=""%1"">Country Configuration</a> and change your settings.","Klicken Sie <a href=""%1"">Country Configuration</a>, um Ihre Einstellungen zu ändern."
"Klarna module store information warning:","Klarna Modul Store-Information Warnung:"
"The following stores require a selected country in the store information","Die folgenden Stores benötigen ein ausgewähltes Land in der Store-Information"
"Click here to go to <a href=""%1"">Store Information</a> and change your settings.","Klicken Sie <a href=""%1"">Store Information</a>, um Ihre Einstellungen zu ändern."
"Warning store address has not been set under Store Information.","Warnung: Die Shopaddresse wurden nicht bei den Shop Informationen hinterlegt"
"Warning debug mode should only be enabled when test mode is active","Warnung: Der debugger Modus sollte nur verwendet werden, wenn die Playground Umgebung verwendet wird"
"Warning the following countries are configured to require a region","Warnung: Bei den folgenden Länder ist die Region ein Pflichtwert"
"API Configuration","API Konfiguration"
"Endpoint","Endpunkt"
"Klarna API username","Klarna API Benutzername"
"Use the API username you downloaded in the Klarna Merchant Portal. Don’t use your email address.","Verwende den API Benutzernamen, welcher im Klarna Händlerportal heruntergelagen wurde. Verwende nicht die Email-Addresse."
"Klarna API password","Klarna API Passwort"
"Use the API password you downloaded in the Klarna Merchant Portal.","Verwende das API Passwort, welches im Klarna Händlerportal heruntergeladen wurde"
"Mode","Modus"
"Version","Version"
"Documentation","Dokumentation"
"Logs","Protokolle"
"Troubleshooting","Fehlerbehebung"
"Support","Unterstützung"
"<div class='klarna-payment-logo'></div><div class='klarna-payment-text'>Grow your business with Klarna for increased sales and enhanced shopping experiences for your customers. <br/>Enable additional solutions to maximize your sales including On-site messaging, Sign in with Klarna and Express Checkout, whether you are integrating Klarna directly or via another payment provider.</div>","<div class='klarna-payment-logo'></div><div class='klarna-payment-text'>Steigern Sie Ihr Geschäft mit Klarna, um Ihren Umsatz zu erhöhen und das Einkaufserlebnis für Ihre Kunden zu verbessern. <br/>Aktivieren Sie zusätzliche Lösungen zur Maximierung ihrer Umsätze durch On-Site-Messaging, Sign-in with Klarna und Express Checkout, ganz gleich ob Sie Klarna direkt oder über einen anderen Zahlungsanbieter integrieren.</div>"
