"Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.","Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials."
"Order ID","Order ID"
Error,Error
Reference,Reference
Reservation,Reservation
"Merchant Portal","Merchant Portal"
"Invoice ID (#%1)","Invoice ID (#%1)"
"Invalid API version selected!","Invalid API version selected!"
"Klarna module country region warning:","Klarna module country region warning:"
"For the following stores the countries are configured to require a region:","For the following stores the countries are configured to require a region:"
"Click here to go to <a href=""%1"">Country Configuration</a> and change your settings.","Click here to go to <a href=""%1"">Country Configuration</a> and change your settings."
"Klarna module store information warning:","Klarna module store information warning:"
"The following stores require a selected country in the store information","The following stores require a selected country in the store information"
"Click here to go to <a href=""%1"">Store Information</a> and change your settings.","Click here to go to <a href=""%1"">Store Information</a> and change your settings."
"Warning store address has not been set under Store Information.","Warning store address has not been set under Store Information."
"Warning debug mode should only be enabled when test mode is active","Warning debug mode should only be enabled when test mode is active"
"Warning the following countries are configured to require a region","Warning the following countries are configured to require a region"
"API Configuration","API Configuration"
"Endpoint","Endpoint"
"Klarna API username","Klarna API username"
"Use the API username you downloaded in the Klarna Merchant Portal. Don’t use your email address.","Use the API username you downloaded in the Klarna Merchant Portal. Don’t use your email address."
"Klarna API password","Klarna API password"
"Use the API password you downloaded in the Klarna Merchant Portal.","Use the API password you downloaded in the Klarna Merchant Portal."
"Mode","Mode"
"Version","Version"
"Documentation","Documentation"
"Logs","Logs"
"Troubleshooting","Troubleshooting"
"Support","Support"
"<div class='klarna-payment-logo'></div><div class='klarna-payment-text'>Grow your business with Klarna for increased sales and enhanced shopping experiences for your customers. <br/>Enable additional solutions to maximize your sales including On-site messaging, Sign in with Klarna and Express Checkout, whether you are integrating Klarna directly or via another payment provider.</div>","<div class='klarna-payment-logo'></div><div class='klarna-payment-text'>Grow your business with Klarna for increased sales and enhanced shopping experiences for your customers. <br/>Enable additional solutions to maximize your sales including On-site messaging, Sign in with Klarna and Express Checkout, whether you are integrating Klarna directly or via another payment provider.</div>"
